Material,Structure Type,Propellant,Thickness (mm),R_down (mm),R_up (mm),V_vane (m^3),Vane Mass (kg),r_sponge (mm),R_sponge (mm),h_sponge (mm),t_sponge (mm),N_sponge,V_sponge (m^3),r_lattice (mm),Sponge Mass (kg),Support Mass (kg),Support Cost (€),Total Mass (kg),Total Cost (€),Normalized Mass,Normalized Effective Tank Volume,Normalized Cost,Normalized Printability,Trade-off Score
Ti6Al4V,Unstiffened,AF_M315E,4.0743486973947896,0.75,0.8400000300000121,3.4092901263600516e-07,0.0015069062358511428,4.2052208700336,22.830958980207217,90.0,0.14053659177913697,10,3.1312900366490776e-05,0.55,0.13840301961988924,0,0.0,0.4670656548884913,196.16757505316636,0.9346556486615566,0.38292291400759915,0.10340331428109484,0.9917859647893046,0.519964527314972
Ti6Al4V,Unstiffened,LMP_103S,4.0743486973947896,0.75,0.8400000300000121,3.4092901263600516e-07,0.0015069062358511428,4.2052208700336,19.830088662278623,90.0,0.16074311010260076,10,3.1312900366490776e-05,0.35000000000000003,0.13840301961988924,0,0.0,0.4670656548884913,196.16757505316636,0.9346556486615566,0.38292291400759915,0.10340331428109484,0.669251579651209,0.46620879645862273
Ti6Al4V,Unstiffened,HNP225,4.0743486973947896,0.75,0.8400000300000121,3.4092901263600516e-07,0.0015069062358511428,4.2052208700336,18.98161275724673,90.0,0.1676134752035489,10,3.1312900366490776e-05,0.3,0.13840301961988924,0,0.0,0.4670656548884913,196.16757505316636,0.9346556486615566,0.38292291400759915,0.10340331428109484,0.5973687456462844,0.4542283241244686
Ti6Al4V,Unstiffened,FLP_106,4.0743486973947896,0.75,0.8400000300000121,3.4092901263600516e-07,0.0015069062358511428,4.2052208700336,18.125355850470356,90.0,0.17586225532057312,10,3.1312900366490776e-05,0.32,0.13840301961988924,0,0.0,0.4670656548884913,196.16757505316636,0.9346556486615566,0.38292291400759915,0.10340331428109484,0.6790330835147205,0.4678390471025413
Ti6Al4V,2 Stiffeners,AF_M315E,3.184569138276553,0.75,0.8400000300000121,3.4092901263600516e-07,0.0015069062358511428,4.2052208700336,22.830958980207217,90.0,0.15197365276821062,10,3.3861187234007554e-05,0.55,0.14966644757431338,0.024752000000000007,10.395840000000003,0.4710173285209649,208.22311797880525,0.92904997023553,0.5621146567389922,0.0,0.7720330946137718,0.4953477506209836
Ti6Al4V,2 Stiffeners,LMP_103S,3.184569138276553,0.75,0.8400000300000121,3.4092901263600516e-07,0.0015069062358511428,4.2052208700336,19.830088662278623,90.0,0.17382460532418717,10,3.3861187234007554e-05,0.35000000000000003,0.14966644757431338,0.024752000000000007,10.395840000000003,0.4710173285209649,208.22311797880525,0.92904997023553,0.5621146567389922,0.0,0.4574108291292825,0.44291070637356866
Ti6Al4V,2 Stiffeners,HNP225,3.184569138276553,0.75,0.8400000300000121,3.4092901263600516e-07,0.0015069062358511428,4.2052208700336,18.98161275724673,90.0,0.18125409017951388,10,3.3861187234007554e-05,0.3,0.14966644757431338,0.024752000000000007,10.395840000000003,0.4710173285209649,208.22311797880525,0.92904997023553,0.5621146567389922,0.0,0.3882181740989094,0.4313785972018398
Ti6Al4V,2 Stiffeners,FLP_106,3.184569138276553,0.75,0.8400000300000121,3.4092901263600516e-07,0.0015069062358511428,4.2052208700336,18.125355850470356,90.0,0.19017416735938508,10,3.3861187234007554e-05,0.32,0.14966644757431338,0.024752000000000007,10.395840000000003,0.4710173285209649,208.22311797880525,0.92904997023553,0.5621146567389922,0.0,0.4731124269006073,0.44552763933545614
Ti6Al4V,3 Stiffeners,AF_M315E,1.9981963927855713,0.75,0.8400000300000121,3.4092901263600516e-07,0.0015069062358511428,4.2052208700336,22.830958980207217,90.0,0.16815823111282716,10,3.746726649609107e-05,0.55,0.16560531791272254,0.023205000000000007,9.746100000000004,0.42368089162060796,187.69207448065535,0.9961994536636928,0.815688787515702,0.17609973739490592,0.867078308892117,0.6531765131393702
Ti6Al4V,3 Stiffeners,LMP_103S,1.9981963927855713,0.75,0.8400000300000121,3.4092901263600516e-07,0.0015069062358511428,4.2052208700336,19.830088662278623,90.0,0.192336221593503,10,3.746726649609107e-05,0.35000000000000003,0.16560531791272254,0.023205000000000007,9.746100000000004,0.42368089162060796,187.69207448065535,0.9961994536636928,0.815688787515702,0.17609973739490592,0.563652479321375,0.6026055415442466
Ti6Al4V,3 Stiffeners,HNP225,1.9981963927855713,0.75,0.8400000300000121,3.4092901263600516e-07,0.0015069062358511428,4.2052208700336,18.98161275724673,90.0,0.20055691648761564,10,3.746726649609107e-05,0.3,0.16560531791272254,0.023205000000000007,9.746100000000004,0.42368089162060796,187.69207448065535,0.9961994536636928,0.815688787515702,0.17609973739490592,0.4982666949911107,0.5917079108225359
Ti6Al4V,3 Stiffeners,FLP_106,1.9981963927855713,0.75,0.8400000300000121,3.4092901263600516e-07,0.0015069062358511428,4.2052208700336,18.125355850470356,90.0,0.21042694575015367,10,3.746726649609107e-05,0.32,0.16560531791272254,0.023205000000000007,9.746100000000004,0.42368089162060796,187.69207448065535,0.9961994536636928,0.815688787515702,0.17609973739490592,0.5877315985337432,0.6066187280796413
Ti6Al4V,4 Stiffeners,AF_M315E,1.493987975951904,0.75,0.8400000300000121,3.4092901263600516e-07,0.0015069062358511428,4.2052208700336,22.830958980207217,90.0,0.17536820771723924,10,3.907371842580266e-05,0.55,0.17270583544204773,0.021658000000000007,9.096360000000002,0.42100172995545604,185.91708658129153,1.0,0.9286520981102203,0.19132423891550676,0.9189426397954791,0.6979057457671409
Ti6Al4V,4 Stiffeners,LMP_103S,1.493987975951904,0.75,0.8400000300000121,3.4092901263600516e-07,0.0015069062358511428,4.2052208700336,19.830088662278623,90.0,0.20058285720980967,10,3.907371842580266e-05,0.35000000000000003,0.17270583544204773,0.021658000000000007,9.096360000000002,0.42100172995545604,185.91708658129153,1.0,0.9286520981102203,0.19132423891550676,0.6205046473664914,0.6481660803623097
Ti6Al4V,4 Stiffeners,HNP225,1.493987975951904,0.75,0.8400000300000121,3.4092901263600516e-07,0.0015069062358511428,4.2052208700336,18.98161275724673,90.0,0.2091560238055234,10,3.907371842580266e-05,0.3,0.17270583544204773,0.021658000000000007,9.096360000000002,0.42100172995545604,185.91708658129153,1.0,0.9286520981102203,0.19132423891550676,0.5568147644121774,0.637551099869924
Ti6Al4V,4 Stiffeners,FLP_106,1.493987975951904,0.75,0.8400000300000121,3.4092901263600516e-07,0.0015069062358511428,4.2052208700336,18.125355850470356,90.0,0.21944924186825765,10,3.907371842580266e-05,0.32,0.17270583544204773,0.021658000000000007,9.096360000000002,0.42100172995545604,185.91708658129153,1.0,0.9286520981102203,0.19132423891550676,0.6483158213971415,0.6528012760340847
Ti6Al4V,5 Stiffeners,AF_M315E,1.1825651302605211,0.75,0.8400000300000121,3.4092901263600516e-07,0.0015069062358511428,4.2052208700336,22.830958980207217,90.0,0.17992204648747231,10,4.008835737422307e-05,0.55,0.17719053959406597,0.016330132000000077,6.858655440000033,0.4310739566770383,187.90971724435613,0.9857119617441995,1.0,0.17423296264782284,1.0,0.7214104452895874
Ti6Al4V,5 Stiffeners,LMP_103S,1.1825651302605211,0.75,0.8400000300000121,3.4092901263600516e-07,0.0015069062358511428,4.2052208700336,19.830088662278623,90.0,0.20579145233486762,10,4.008835737422307e-05,0.35000000000000003,0.17719053959406597,0.016330132000000077,6.858655440000033,0.4310739566770383,187.90971724435613,0.9857119617441995,1.0,0.17423296264782284,0.7047123376486205,0.6721958348976909
Ti6Al4V,5 Stiffeners,HNP225,1.1825651302605211,0.75,0.8400000300000121,3.4092901263600516e-07,0.0015069062358511428,4.2052208700336,18.98161275724673,90.0,0.2145872409151213,10,4.008835737422307e-05,0.3,0.17719053959406597,0.016330132000000077,6.858655440000033,0.4310739566770383,187.90971724435613,0.9857119617441995,1.0,0.17423296264782284,0.6420935901306638,0.6617593769780313
Ti6Al4V,5 Stiffeners,FLP_106,1.1825651302605211,0.75,0.8400000300000121,3.4092901263600516e-07,0.0015069062358511428,4.2052208700336,18.125355850470356,90.0,0.22514774605397217,10,4.008835737422307e-05,0.32,0.17719053959406597,0.016330132000000077,6.858655440000033,0.4310739566770383,187.90971724435613,0.9857119617441995,1.0,0.17423296264782284,0.7348806865851822,0.6772238930537845
StainlessSteel316L,Unstiffened,AF_M315E,6.150501002004008,0.75,0.8400000300000121,3.4092901263600516e-07,0.0027274321010880413,4.2052208700336,22.830958980207217,90.0,0.11609622050497848,10,2.5867351268285172e-05,0.55,0.20693881014628138,0,0.0,1.085148719641436,108.5148719641436,0.057868944135789135,0.0,0.855221798194078,0.8741922428414063,0.4442753935032779
StainlessSteel316L,Unstiffened,LMP_103S,6.150501002004008,0.75,0.8400000300000121,3.4092901263600516e-07,0.0027274321010880413,4.2052208700336,19.830088662278623,90.0,0.13278867317670318,10,2.5867351268285172e-05,0.35000000000000003,0.20693881014628138,0,0.0,1.085148719641436,108.5148719641436,0.057868944135789135,0.0,0.855221798194078,0.53475009249296,0.38770170177853674
StainlessSteel316L,Unstiffened,HNP225,6.150501002004008,0.75,0.8400000300000121,3.4092901263600516e-07,0.0027274321010880413,4.2052208700336,18.98161275724673,90.0,0.1384642300662776,10,2.5867351268285172e-05,0.3,0.20693881014628138,0,0.0,1.085148719641436,108.5148719641436,0.057868944135789135,0.0,0.855221798194078,0.4571184937490192,0.37476310198788
StainlessSteel316L,Unstiffened,FLP_106,6.150501002004008,0.75,0.8400000300000121,3.4092901263600516e-07,0.0027274321010880413,4.2052208700336,18.125355850470356,90.0,0.14527848522388193,10,2.5867351268285172e-05,0.32,0.20693881014628138,0,0.0,1.085148719641436,108.5148719641436,0.057868944135789135,0.0,0.855221798194078,0.5318806807739572,0.3872234664920364
StainlessSteel316L,2 Stiffeners,AF_M315E,5.527655310621242,0.75,0.8400000300000121,3.4092901263600516e-07,0.0027274321010880413,4.2052208700336,22.830958980207217,90.0,0.12310576975876723,10,2.7429146062219266e-05,0.55,0.21943316849775413,0.04480000000000001,4.480000000000001,1.1259429221091974,117.07429221091975,0.0,0.10982308722038797,0.7818055756895692,0.41057580923629566,0.35831731669467587
StainlessSteel316L,2 Stiffeners,LMP_103S,5.527655310621242,0.75,0.8400000300000121,3.4092901263600516e-07,0.0027274321010880413,4.2052208700336,19.830088662278623,90.0,0.140806063759521,10,2.7429146062219266e-05,0.35000000000000003,0.21943316849775413,0.04480000000000001,4.480000000000001,1.1259429221091974,117.07429221091975,0.0,0.10982308722038797,0.7818055756895692,0.07598284107432272,0.30255182200101366
StainlessSteel316L,2 Stiffeners,HNP225,5.527655310621242,0.75,0.8400000300000121,3.4092901263600516e-07,0.0027274321010880413,4.2052208700336,18.98161275724673,90.0,0.14682429412620873,10,2.7429146062219266e-05,0.3,0.21943316849775413,0.04480000000000001,4.480000000000001,1.1259429221091974,117.07429221091975,0.0,0.10982308722038797,0.7818055756895692,0.0,0.2898880151552932
StainlessSteel316L,2 Stiffeners,FLP_106,5.527655310621242,0.75,0.8400000300000121,3.4092901263600516e-07,0.0027274321010880413,4.2052208700336,18.125355850470356,90.0,0.15404997402225287,10,2.7429146062219266e-05,0.32,0.21943316849775413,0.04480000000000001,4.480000000000001,1.1259429221091974,117.07429221091975,0.0,0.10982308722038797,0.7818055756895692,0.07674173822536226,0.30267830485952024
StainlessSteel316L,3 Stiffeners,AF_M315E,3.4366733466933868,0.75,0.8400000300000121,3.4092901263600516e-07,0.0027274321010880413,4.2052208700336,22.830958980207217,90.0,0.1486729463314319,10,3.3125758186771834e-05,0.55,0.26500606549417466,0.04200000000000001,4.2,0.9383510654990062,98.0351065499006,0.26610993753544077,0.5104003798617273,0.94510928674646,0.564675012870875,0.6073480177820294
StainlessSteel316L,3 Stiffeners,LMP_103S,3.4366733466933868,0.75,0.8400000300000121,3.4092901263600516e-07,0.0027274321010880413,4.2052208700336,19.830088662278623,90.0,0.17004931938999218,10,3.3125758186771834e-05,0.35000000000000003,0.26500606549417466,0.04200000000000001,4.2,0.9383510654990062,98.0351065499006,0.26610993753544077,0.5104003798617273,0.94510928674646,0.24776932996873174,0.5545304039650054
StainlessSteel316L,3 Stiffeners,HNP225,3.4366733466933868,0.75,0.8400000300000121,3.4092901263600516e-07,0.0027274321010880413,4.2052208700336,18.98161275724673,90.0,0.1773174437197459,10,3.3125758186771834e-05,0.3,0.26500606549417466,0.04200000000000001,4.2,0.9383510654990062,98.0351065499006,0.26610993753544077,0.5104003798617273,0.94510928674646,0.17780029619334087,0.5428688983357737
StainlessSteel316L,3 Stiffeners,FLP_106,3.4366733466933868,0.75,0.8400000300000121,3.4092901263600516e-07,0.0027274321010880413,4.2052208700336,18.125355850470356,90.0,0.18604378629083543,10,3.3125758186771834e-05,0.32,0.26500606549417466,0.04200000000000001,4.2,0.9383510654990062,98.0351065499006,0.26610993753544077,0.5104003798617273,0.94510928674646,0.2617624038381097,0.5568625829432351
StainlessSteel316L,4 Stiffeners,AF_M315E,2.6062124248496996,0.75,0.8400000300000121,3.4092901263600516e-07,0.0027274321010880413,4.2052208700336,22.830958980207217,90.0,0.15972826972105092,10,3.55889902563421e-05,0.55,0.2847119220507368,0.03920000000000001,3.9200000000000013,0.8957176985761445,93.49176985761444,0.32658784320670387,0.6836111956943546,0.9840785869907623,0.6489511025677321,0.6946848616916016
StainlessSteel316L,4 Stiffeners,LMP_103S,2.6062124248496996,0.75,0.8400000300000121,3.4092901263600516e-07,0.0027274321010880413,4.2052208700336,19.830088662278623,90.0,0.18269419032602693,10,3.55889902563421e-05,0.35000000000000003,0.2847119220507368,0.03920000000000001,3.9200000000000013,0.8957176985761445,93.49176985761444,0.32658784320670387,0.6836111956943546,0.9840785869907623,0.339693454554233,0.6431419203560184
StainlessSteel316L,4 Stiffeners,HNP225,2.6062124248496996,0.75,0.8400000300000121,3.4092901263600516e-07,0.0027274321010880413,4.2052208700336,18.98161275724673,90.0,0.19050277253251,10,3.55889902563421e-05,0.3,0.2847119220507368,0.03920000000000001,3.9200000000000013,0.8957176985761445,93.49176985761444,0.32658784320670387,0.6836111956943546,0.9840785869907623,0.2723248089876684,0.6319138127615909
StainlessSteel316L,4 Stiffeners,FLP_106,2.6062124248496996,0.75,0.8400000300000121,3.4092901263600516e-07,0.0027274321010880413,4.2052208700336,18.125355850470356,90.0,0.1998780061191642,10,3.55889902563421e-05,0.32,0.2847119220507368,0.03920000000000001,3.9200000000000013,0.8957176985761445,93.49176985761444,0.32658784320670387,0.6836111956943546,0.9840785869907623,0.3594090259000443,0.6464278489136536
StainlessSteel316L,5 Stiffeners,AF_M315E,2.1316633266533067,0.75,0.8400000300000121,3.4092901263600516e-07,0.0027274321010880413,4.2052208700336,22.830958980207217,90.0,0.1662831314045364,10,3.704947629924882e-05,0.55,0.29639581039399054,0.029556800000000143,2.9556800000000143,0.8948873939900526,92.44441939900527,0.32776567845783333,0.7863104022080829,0.9930619657819149,0.7875425034550325,0.7484391713987936
StainlessSteel316L,5 Stiffeners,LMP_103S,2.1316633266533067,0.75,0.8400000300000121,3.4092901263600516e-07,0.0027274321010880413,4.2052208700336,19.830088662278623,90.0,0.19019151781886742,10,3.704947629924882e-05,0.35000000000000003,0.29639581039399054,0.029556800000000143,2.9556800000000143,0.8948873939900526,92.44441939900527,0.32776567845783333,0.7863104022080829,0.9930619657819149,0.48281948632285204,0.6976520018767635
StainlessSteel316L,5 Stiffeners,HNP225,2.1316633266533067,0.75,0.8400000300000121,3.4092901263600516e-07,0.0027274321010880413,4.2052208700336,18.98161275724673,90.0,0.19832054534412222,10,3.704947629924882e-05,0.3,0.29639581039399054,0.029556800000000143,2.9556800000000143,0.8948873939900526,92.44441939900527,0.32776567845783333,0.7863104022080829,0.9930619657819149,0.4169926486647047,0.6866808622670724
