Material,Structure Type,Mass (kg),Cost (â‚¬),Thickness (mm)
Ti6Al4V,Unstiffened,0.3271557290327509,137.4054061937554,4.0743486973947896
Ti6Al4V,2 Stiffeners,0.31984397471080034,134.33446937853614,3.184569138276553
Ti6Al4V,3 Stiffeners,0.2565686674720343,107.7588403382544,1.9981963927855713
Ti6Al4V,4 Stiffeners,0.24678898827755716,103.65137507657401,1.493987975951904
Ti6Al4V,5 Stiffeners,0.25237651084712115,105.99813455579088,1.1825651302605211
StainlessSteel316L,Unstiffened,0.8754824773940667,87.54824773940668,6.150501002004008
StainlessSteel316L,2 Stiffeners,0.9037823215103553,90.37823215103553,5.527655310621242
StainlessSteel316L,3 Stiffeners,0.6706175679037434,67.06175679037433,3.4366733466933868
StainlessSteel316L,4 Stiffeners,0.6082783444243196,60.827834442431964,2.6062124248496996
StainlessSteel316L,5 Stiffeners,0.595764151494974,59.5764151494974,2.1316633266533067
StainlessSteel304L,Unstiffened,0.8638962720401685,86.38962720401685,6.120841683366733
StainlessSteel304L,2 Stiffeners,0.8938853046554271,89.38853046554271,5.512825651302605
StainlessSteel304L,3 Stiffeners,0.6626722194338577,66.26722194338576,3.4218436873747495
StainlessSteel304L,4 Stiffeners,0.6008433060059438,60.084330600594384,2.5913827655310624
StainlessSteel304L,5 Stiffeners,0.5905512151693929,59.05512151693929,2.1316633266533067
Inconel625,Unstiffened,0.7886056350705418,118.29084526058128,5.201402805611222
Inconel625,2 Stiffeners,0.7907065514027977,118.60598271041965,4.400601202404809
Inconel625,3 Stiffeners,0.6051016040827145,90.76524061240718,2.7545090180360723
Inconel625,4 Stiffeners,0.5626396173661954,84.3959426049293,2.0871743486973946
Inconel625,5 Stiffeners,0.562434164159373,84.36512462390594,1.7016032064128257
